Geneid	/home/ubuntu/reprohackathon/results/BAM/SRR10379721.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379722.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379723.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379724.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379725.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379726.bam
gene-SAOUHSC_00438	2971	4488	3145	1159	1517	357
gene-SAOUHSC_00439	2420	2860	2462	907	1021	230
gene-SAOUHSC_00440	436	344	394	54	28	16
gene-SAOUHSC_00441	1108	954	1063	1417	1778	365
gene-SAOUHSC_00442	12350	11646	12783	7046	8598	2073
gene-SAOUHSC_00444	5268	5175	5355	4999	7970	3384
gene-SAOUHSC_00445	10150	8004	9342	7455	9564	2642
gene-SAOUHSC_00446	47	40	37	17	14	4
gene-SAOUHSC_R0001	2521	1320	325	3749	2855	6320
gene-SAOUHSC_R0006	14206	15456	4153	12694	9204	19265
gene-SAOUHSC_R00011	7	21	14	1	1	6
gene-SAOUHSC_00450	584	447	375	1231	1397	214
gene-SAOUHSC_00451	603	518	493	885	1101	115
gene-SAOUHSC_00452	5226	5964	4143	9260	13441	2998
gene-SAOUHSC_00453	23	9	14	19	6	0
gene-SAOUHSC_00454	685	635	625	2317	3000	135
gene-SAOUHSC_00455	1529	1076	1300	1062	1646	357
gene-SAOUHSC_00456	1255	823	959	576	594	95
gene-SAOUHSC_00457	423	379	362	291	347	59
gene-SAOUHSC_00458	159	155	120	108	155	28
gene-SAOUHSC_00459	576	419	350	357	383	75
gene-SAOUHSC_00460	10	7	9	6	8	0
gene-SAOUHSC_00461	6621	4981	4716	12025	17643	1812
gene-SAOUHSC_00462	5236	3626	3826	6607	9259	3938
gene-SAOUHSC_00463	350	318	283	1233	2548	368
gene-SAOUHSC_00464	612	543	421	1729	2755	944
gene-SAOUHSC_00465	38504	37006	25549	26270	15724	1569
gene-SAOUHSC_00466	13317	13351	11642	10824	15086	4087
gene-SAOUHSC_00467	16736	15442	14543	14268	18433	2465
gene-SAOUHSC_00468	30407	29291	22064	56475	78626	25932
gene-SAOUHSC_00469	37229	36189	26199	57612	71657	34755
gene-SAOUHSC_00470	12	25	15	19	65	27
gene-SAOUHSC_00471	13503	14060	11469	17016	17229	10374
gene-SAOUHSC_00472	16203	16524	13633	14475	16502	3745
gene-SAOUHSC_00473	57	32	19	18	9	0
gene-SAOUHSC_00474	232282	196910	236655	37648	32630	14729
gene-SAOUHSC_00475	705	522	415	2086	2514	404
gene-SAOUHSC_00477	7382	5741	5263	8245	11343	2259
